Company Name,Title,Role,Role url,Localisation,Type,Level,Country,Region,City
Bolt,"Data Scientist, Financial Planning",Data Scientist,https://www.linkedin.com/jobs/view/3124617498/?alternateChannel=search&refId=hwbGo%2FeJLj7I0nms%2FOoX9w%3D%3D&trackingId=R5ZZs492LIDUm51GxbDiUw%3D%3D&trk=d_flagship3_search_srp_jobs,"Warszawa, Woj. Mazowieckie, Polska",Pelny etat,Poczatkujacy,Polska,Mazowieckie,Warszawa
speedapp,Data Scientist,Data Scientist,https://www.linkedin.com/jobs/view/3396206660/?alternateChannel=search&refId=dF9BZlIYlkIVgNy0nNxrCw%3D%3D&trackingId=t2yGz3S1KqSDJWuFXQezAg%3D%3D&trk=d_flagship3_search_srp_jobs,"Warszawa, Woj. Mazowieckie, Polska",Pelny etat,Poczatkujacy,Polska,Mazowieckie,Warszawa
Bolt,"Data Scientist, Campaigns",Data Scientist,https://www.linkedin.com/jobs/view/3285030321/?alternateChannel=search&refId=dF9BZlIYlkIVgNy0nNxrCw%3D%3D&trackingId=%2Fl%2BiaPFH28pcK7bQKRpKDQ%3D%3D&trk=d_flagship3_search_srp_jobs,"Warszawa, Woj. Mazowieckie, Polska",Pelny etat,Poczatkujacy,Polska,Mazowieckie,Warszawa
Turing,Remote Data Scientist Jobs,Data Scientist,https://www.linkedin.com/jobs/view/3415408404/?alternateChannel=search&refId=dF9BZlIYlkIVgNy0nNxrCw%3D%3D&trackingId=XeNtr6qpgN6vDlg8ncHQcA%3D%3D&trk=d_flagship3_search_srp_jobs,Polska,Pelny etat,Poczatkujacy,Polska,,
Turing,Remote Data Scientist Jobs,Data Scientist,https://www.linkedin.com/jobs/view/3415406377/?alternateChannel=search&refId=dF9BZlIYlkIVgNy0nNxrCw%3D%3D&trackingId=bnkeAVbM2gYSBsfS6zOFtQ%3D%3D&trk=d_flagship3_search_srp_jobs,Polska,Pelny etat,Poczatkujacy,Polska,,
Opera,Data Scientist,Data Scientist,https://www.linkedin.com/jobs/view/3315624686/?alternateChannel=search&refId=%2BmO8GCTF%2B0Gfv5%2BbVqDrkg%3D%3D&trackingId=mn8MaWgb8sA1H8OZQ4cEDg%3D%3D&trk=d_flagship3_search_srp_jobs,"Wrocław, Woj. Dolnośląskie, Polska",Pelny etat,Poczatkujacy,Polska,Dolnoslaskie,Wroclaw
Turing,Remote Data Scientist Jobs,Data Scientist,https://www.linkedin.com/jobs/view/3415406406/?alternateChannel=search&refId=%2BmO8GCTF%2B0Gfv5%2BbVqDrkg%3D%3D&trackingId=yeFpGCx%2BYZwX78ldg%2F6fqQ%3D%3D&trk=d_flagship3_search_srp_jobs,Polska,Pelny etat,Poczatkujacy,Polska,,
Turing,Remote Data Scientist Jobs,Data Scientist,https://www.linkedin.com/jobs/view/3415402881/?alternateChannel=search&refId=%2BmO8GCTF%2B0Gfv5%2BbVqDrkg%3D%3D&trackingId=X%2BUcgsUs6t122Uoq1Ld%2FwA%3D%3D&trk=d_flagship3_search_srp_jobs,Polska,Pelny etat,Poczatkujacy,Polska,,
OANDA,Data Scientist (Python/C++),Data Scientist,https://www.linkedin.com/jobs/view/3389501593/?alternateChannel=search&refId=%2BmO8GCTF%2B0Gfv5%2BbVqDrkg%3D%3D&trackingId=NGhdcXRBQGj7swqaAxwBbQ%3D%3D&trk=d_flagship3_search_srp_jobs,"Kraków, Woj. Małopolskie, Polska",Pelny etat,Poczatkujacy,Polska,Malopolskie,Krakow
Viercode,Data Scientist,Data Scientist,https://www.linkedin.com/jobs/view/3405546714/?alternateChannel=search&refId=%2BmO8GCTF%2B0Gfv5%2BbVqDrkg%3D%3D&trackingId=np8CVQV2EhyA0qmB1CnS%2Fg%3D%3D&trk=d_flagship3_search_srp_jobs,"Warszawa, Woj. Mazowieckie, Polska",Pelny etat,Poczatkujacy,Polska,Mazowieckie,Warszawa
