Title,Company,Location,Apply
b'Data Scientist (Python/C++)',b'OANDA',"b'Cracow, Ma\xc5\x82opolskie, Poland'",b'https://pl.linkedin.com/jobs/view/data-scientist-python-c%2B%2B-at-oanda-3389501593?refId=QW%2FvmVFizLM6JiE867feAQ%3D%3D&trackingId=6azGj9xXYfze2fcdETqxrg%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card'
"b'Software Engineer, Deep Learning'",b'Instabase',"b'Warsaw, Mazowieckie, Poland'",b'https://pl.linkedin.com/jobs/view/software-engineer-deep-learning-at-instabase-3332004370?refId=QW%2FvmVFizLM6JiE867feAQ%3D%3D&trackingId=FBCE%2FetWavSjYbejwpLpJw%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Data Scientist - Orpheus',b'McKinsey & Company',"b'Wroc\xc5\x82aw, Dolno\xc5\x9bl\xc4\x85skie, Poland'",b'https://pl.linkedin.com/jobs/view/data-scientist-orpheus-at-mckinsey-company-3368387711?refId=QW%2FvmVFizLM6JiE867feAQ%3D%3D&trackingId=6WWINRV%2BCMLjFPU7ISM4Jg%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Python Developer',b'Silent Eight',"b'Warsaw, Mazowieckie, Poland'",b'https://pl.linkedin.com/jobs/view/python-developer-at-silent-eight-3386882957?refId=QW%2FvmVFizLM6JiE867feAQ%3D%3D&trackingId=PsKwxebV28u8YXFH2ofpgg%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Python Developer',b'FORM MarketX (formerly GoSpotCheck)',"b'Cracow, Ma\xc5\x82opolskie, Poland'",b'https://pl.linkedin.com/jobs/view/python-developer-at-form-marketx-formerly-gospotcheck-3144751213?refId=QW%2FvmVFizLM6JiE867feAQ%3D%3D&trackingId=5%2Fh7NNghnHh3e1zYmg1QQA%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Junior Data Engineer',b'Promo.com',b'Poland',b'https://pl.linkedin.com/jobs/view/junior-data-engineer-at-promo-com-3371127727?refId=QW%2FvmVFizLM6JiE867feAQ%3D%3D&trackingId=2vNTefTtISqPyQcFd8STHQ%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Data Scientist',b'Infosys',"b'Cracow, Ma\xc5\x82opolskie, Poland'",b'https://pl.linkedin.com/jobs/view/data-scientist-at-infosys-3349735791?refId=QW%2FvmVFizLM6JiE867feAQ%3D%3D&trackingId=ZaoC10972LVaw7NRUOsUmA%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card'
"b'JUNIOR DATA SCIENTIST - Dubai, UAE'",b'Cobblestone Energy',"b'Warsaw, Mazowieckie, Poland'",b'https://pl.linkedin.com/jobs/view/junior-data-scientist-dubai-uae-at-cobblestone-energy-3392549749?refId=QW%2FvmVFizLM6JiE867feAQ%3D%3D&trackingId=7hVuxsA2SGbYGAUDuWohXg%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Junior Data Governance Analyst',b'Oliver Wyman',"b'Warsaw, Mazowieckie, Poland'",b'https://pl.linkedin.com/jobs/view/junior-data-governance-analyst-at-oliver-wyman-3318863880?refId=mJqEf1tKokrARcYMwt9wjA%3D%3D&trackingId=p3vwdSF1uWJd0g1hsPVdyg%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card'
b'Data Analyst/Custom Insights',b'Verisk',"b'Cracow, Ma\xc5\x82opolskie, Poland'",b'https://pl.linkedin.com/jobs/view/data-analyst-custom-insights-at-verisk-3366523826?refId=mJqEf1tKokrARcYMwt9wjA%3D%3D&trackingId=o%2Fp7o3Hw%2BTlLuDr2ubmoTg%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card'
b'Junior Data Engineer',b'Verisk',"b'Cracow, Ma\xc5\x82opolskie, Poland'",b'https://pl.linkedin.com/jobs/view/junior-data-engineer-at-verisk-3366525412?refId=mJqEf1tKokrARcYMwt9wjA%3D%3D&trackingId=dGE4MDsWo0a7mBhNe1TCow%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card'
b'ML/AI Engineer',b'Hapag-Lloyd AG',"b'Gda\xc5\x84sk, Pomorskie, Poland'",b'https://pl.linkedin.com/jobs/view/ml-ai-engineer-at-hapag-lloyd-ag-3350722499?refId=mJqEf1tKokrARcYMwt9wjA%3D%3D&trackingId=LAaMkCImUKD9HKRGnJsvcw%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card'
